排名,代码,名称,每股分红合计,最新价,昨收,最新分红率,昨日分红率,分红率涨跌幅,是否保留,买入提醒pe,买入提醒价格,买入pb
183,000786,北新建材,0.865,18.29,18.73,4.72936030617824,4.6182594767752265,0.1111008294030133,否,,,
184,601555,东吴证券,0.375,7.95,8.03,4.716981132075471,4.669987546699876,0.0469935853755947,否,,,
185,002332,仙琚制药,0.4,8.49,8.65,4.7114252061248525,4.624277456647398,0.0871477494774541,否,,,
186,601006,大秦铁路,0.2199999999999999,4.69,4.72,4.6908315565031975,4.6610169491525415,0.0298146073506559,否,,,
188,601998,中信银行,0.3601999999999999,7.7,7.69,4.677922077922077,4.684005201560468,-0.006083124,否,,,
189,600480,凌云股份,0.4,8.56,8.63,4.672897196261682,4.634994206257241,0.0379029900044409,否,,,
190,601900,南方传媒,0.55,11.83,11.82,4.649196956889265,4.653130287648055,-0.003933331,否,,,
191,600916,中国黄金,0.35,7.53,7.67,4.6480743691899065,4.563233376792699,0.0848409923972077,否,,,
192,600598,北大荒,0.55,11.85,12.05,4.641350210970464,4.564315352697096,0.0770348582733682,否,,,
193,600015,华夏银行,0.305,6.61,6.66,4.614220877458396,4.579579579579579,0.0346412978788173,否,,,
194,601336,新华保险,2.66,57.78,58.49,4.603669089650397,4.547785946315608,0.055883143334789,是,,47,
195,002690,美亚光电,0.7,15.25,15.11,4.590163934426229,4.632693580410324,-0.042529646,否,,,
196,600559,老白干酒,0.55,12,12.31,4.583333333333334,4.467912266450041,0.1154210668832931,否,,,
197,603697,有友食品,0.44,9.63,10.06,4.569055036344755,4.3737574552683895,0.1952975810763657,否,,,
198,600285,羚锐制药,0.9,19.7,19.67,4.568527918781727,4.575495678698525,-0.00696776,是,,17,
199,600028,中国石化,0.2279999999999999,5,4.99,4.56,4.5691382765531054,-0.009138277,否,,,
200,600863,华能蒙电,0.22,4.85,5.01,4.536082474226806,4.39121756487026,0.1448649093565457,是,,4.4,
201,000672,上峰材料,0.63,13.89,13.84,4.535637149028077,4.552023121387283,-0.016385972,,,,
202,600020,中原高速,0.1699999999999999,3.75,3.76,4.533333333333333,4.5212765957446805,0.0120567375886526,,,,
203,001965,招商公路,0.417,9.2,9.24,4.532608695652174,4.512987012987012,0.0196216826651616,,,,
204,601598,中国外运,0.29,6.41,6.46,4.524180967238689,4.489164086687306,0.0350168805513826,,,,
205,601009,南京银行,0.50551,11.18,11.21,4.521556350626119,4.509455842997324,0.0121005076287952,,,,
206,600269,赣粤高速,0.1699999999999999,3.76,3.78,4.5212765957446805,4.497354497354497,0.0239220983901837,,,,
207,600261,阳光照明,0.1399999999999999,3.1,3.07,4.516129032258064,4.5602605863192185,-0.044131554,,,,
