排名,代码,名称,每股分红合计,最新价,昨收,最新分红率,昨日分红率,分红率涨跌幅,是否保留,买入提醒pe,买入提醒价格,买入pb,,,,
97,000596,古井贡酒,5,91.69,90.15,5.453157378121933,5.546311702717692,-0.093154325,否,,,,,,,
98,601766,中国中车,0.32000000000000006,5.88,5.93,5.442176870748301,5.3962900505902205,0.04588682015808043,否,,,,,,,
99,603889,新澳股份,0.3,5.54,5.62,5.415162454873646,5.338078291814946,0.07708416305870003,是,10.3,,,,,,
100,600873,梅花生物,0.42596999999999996,7.88,7.9,5.405710659898476,5.392025316455696,0.013685343442780606,,,,,,,,
101,603689,皖天然气,0.39999999999999997,7.41,7.46,5.398110661268555,5.361930294906165,0.03618036636239008,,,,,,,,
102,600642,申能股份,0.45,8.34,8.35,5.39568345323741,5.389221556886228,0.006461896351182439,,,,,,,,
103,688606,奥泰生物,2.5,46.39,45,5.389092476826902,5.555555555555555,-0.166463079,,,,,,,,
104,003012,东鹏控股,0.25,4.64,4.73,5.387931034482759,5.285412262156448,0.10251877232631124,,,,,,,,
105,002293,罗莱生活,0.6000000000000001,11.2,11.16,5.3571428571428585,5.376344086021506,-0.019201229,,,,,,,,
106,002274,华昌化工,0.3,5.6,5.6,5.357142857142858,5.357142857142858,0,,,,,,,,
107,600585,海螺水泥,0.95,17.76,17.8,5.3490990990990985,5.337078651685393,0.012020447413705782,,,,,,,,
108,000001,平安银行,0.598,11.19,11.27,5.344057193923145,5.3061224489795915,0.037934744943553866,,,,,,,,
109,603515,欧普照明,0.9,16.89,17.11,5.328596802841918,5.260081823495033,0.06851497934688577,,,,,,,,
110,601019,山东出版,0.37,6.98,7.15,5.300859598853868,5.174825174825175,0.1260344240286928,,,,,,,,
111,600546,山煤国际,0.6900000000000001,13.02,13.22,5.299539170506913,5.219364599092285,0.08017457141462803,,,,,,,,
112,600757,长江传媒,0.41,7.75,7.77,5.290322580645161,5.276705276705276,0.013617303939884806,,,,,,,,
113,601098,中南传媒,0.55,10.43,10.57,5.273250239693193,5.203405865657522,0.06984437403567156,,,,,,,,
114,603967,中创物流,0.6,11.4,11.4,5.263157894736842,5.263157894736842,0,,,,,,,,
115,601107,四川成渝,0.29,5.53,5.64,5.244122965641952,5.141843971631205,0.1022789940107467,,,,,,,,
116,603611,诺力股份,0.897,17.11,17.19,5.242548217416716,5.218150087260034,0.024398130156681574,,,,,,,,
117,002416,爱施德,0.5,9.59,9.72,5.213764337851929,5.144032921810699,0.0697314160412299,,,,,,,,
118,600461,洪城环境,0.46399999999999997,8.9,8.93,5.213483146067415,5.195968645016797,0.017514501050618136,,,,,,,,
119,002007,华兰生物,0.7,13.43,13.12,5.212211466865227,5.335365853658536,-0.123154387,,,,,,,,
120,601997,贵阳银行,0.29,5.59,5.64,5.18783542039356,5.141843971631205,0.04599144876235428,,,,,,,,
121,000568,泸州老窖,4.5920000000000005,88.64,87.01,5.180505415162456,5.277554304102977,-0.097048889,,,,,,,,
122,300770,新媒股份,1.76,34.02,34.3,5.173427395649617,5.131195335276968,0.04223206037264937,,,,,,,,
123,002557,洽洽食品,1,19.36,19.51,5.1652892561983474,5.125576627370579,0.03971262882776827,,,,,,,,
124,600036,招商银行,2,38.8,38.97,5.154639175257732,5.1321529381575575,0.022486237100174833,,,,,,,,
125,601328,交通银行,0.3533,6.91,6.94,5.11287988422576,5.090778097982708,0.022101786243051258,,,,,,,,
126,002404,嘉欣丝绸,0.3,5.88,5.94,5.1020408163265305,5.05050505050505,0.05153576582148034,,,,,,,,
127,000708,中信特钢,0.7072162,13.89,14.1,5.091549316054715,5.015717730496454,0.07583158555826142,,,,,,,,
128,603365,水星家纺,0.9,17.68,17.95,5.090497737556561,5.013927576601672,0.07657016095488878,,,,,,,,
129,601339,百隆东方,0.41000000000000003,8.08,8.15,5.074257425742575,5.030674846625767,0.04358257911680763,,,,,,,,
130,601811,新华文轩,0.6,11.87,12.02,5.054759898904802,4.9916805324459235,0.06307936645887846,,,,,,,,
131,600325,华发股份,0.12400000000000001,2.46,2.53,5.040650406504065,4.901185770750989,0.13946463575307622,,,,,,,,
132,002807,江阴银行,0.2,3.98,4.03,5.025125628140704,4.962779156327543,0.062346471813160775,,,,,,,,
133,002966,苏州银行,0.41000000000000003,8.18,8.21,5.012224938875306,4.993909866017052,0.018315072858253956,,,,,,,,
134,600741,华域汽车,0.8,16,16,5,5,0,,,,,,,,
135,000651,格力电器,2,40.1,40.25,4.987531172069825,4.968944099378882,0.018587072690943174,,,,,,,,
136,600295,鄂尔多斯,0.6,12.04,12.14,4.983388704318937,4.942339373970346,0.04104933034859126,,,,,,,,
137,601838,成都银行,0.891,17.88,17.97,4.983221476510067,4.9582637729549255,0.02495770355514182,,,,,,,,
